Unnamed: 0,smile,rt,mol_weight,polar_surface_area,h_bond_donors,h_bond_acceptors,rotatable_bonds,aromatic_rings,heavy_atoms
111,CCCC[C@@H](CC)C(O)=Nc1nc(-c2ccc(C(C)C)cc2)cs1,1389.6,344.524,45.480000000000004,1,3,8,2,24
112,O=C(c1ccc(S(=O)(=O)c2ccccc2)nc1)N1CCN(C2CCCCC2)CC1,566.5,413.5430000000004,70.57999999999998,0,5,4,2,29
113,Cc1ccn(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,983.0,278.377,51.96,0,4,2,2,19
114,Cc1oc2c(c1C(O)=Nc1ccccc1Br)C1=NCCN1C=N2,627.5,373.21000000000015,73.69,1,5,2,2,23
115,COc1cccc([C@@H](O)CN2CCN(c3ccc(F)cc3)CC2)c1,660.4,330.4030000000001,35.940000000000005,1,4,5,2,24
116,CCOC(=O)CC(=O)Nc1ccc(-c2nc(-c3cc(C)ccc3C)co2)cc1,1105.2,378.4280000000001,81.43,1,5,6,3,28
117,CN(C(=O)Cn1c(=O)oc2ccccc21)[C@@H]1CCc2nn(C)c(=O)n2CC1,633.0,371.39700000000016,95.27000000000001,0,8,3,3,27
118,CCCS(=O)(=O)N1CCC2(CC1)C[C@H](OCc1ccccc1)CCO2,984.4,367.5110000000001,55.84,0,4,6,1,25
119,Cc1ccc(-c2ccc(=O)n(Cc3noc(C(=O)NCCN4CCC(C)CC4)n3)n2)cc1,676.6,436.5160000000003,106.14999999999999,1,8,7,3,32
120,Oc1cc(-c2ccccc2)nc(SCc2cccc(Cl)c2)n1,902.6,328.824,46.010000000000005,1,4,4,3,22
121,Cc1nc(CC(O)=Nc2nc(-c3ccc(F)cc3)c(C)s2)cs1,894.2,347.44,58.370000000000005,1,5,4,3,23
122,CCOc1ccc(-c2noc(N3CCC(C(=O)N4CCOCC4)CC3)n2)cc1OC,736.0,416.4780000000003,90.16000000000001,0,8,6,2,30
123,Cc1[nH]c(C(=O)N2CCC[C@H](C(O)=N[C@H](C)c3ccccc3)C2)c(C)c1C(=O)OC(C)C,896.5,439.55600000000027,94.99,2,4,6,2,32
124,CC(O)=Nc1cccc(-c2nc(-c3ccc4nnn(C(C)C)c4c3)no2)c1,858.9,362.3930000000001,102.22,1,7,4,4,27
125,CC(O)=NCCc1nc2ccccc2n1CCCOc1cccc2ccccc12,610.8,387.4830000000001,59.64,1,4,8,4,29
126,CC(=O)c1cccc(N=C(O)Cn2c(=O)n(-c3cccc(C)c3)c(=O)c3c2cc(C)n3C)c1,795.5,444.4910000000002,98.59,1,7,5,4,33
127,COc1ccc(-c2cn3c(CC(=O)N4CCN(C5CCCCC5)CC4)csc3n2)cc1OC,593.9,468.62300000000033,59.31,0,7,6,3,33
128,COc1ccc(C(=O)N2C[C@H](c3ccc(OC)cc3OC)[C@@H](C(O)=NC3CC3)C2)cc1,703.0,424.49700000000024,80.59,1,5,7,2,31
129,Cc1cc(Cl)ccc1OCc1nc(-c2ccc3c(c2)nnn3CCC(=O)N2CCOCC2)no1,974.0,482.92800000000034,108.4,0,9,7,4,34
130,CS(=O)(=O)c1ccccc1C(=O)Nc1ccc2sccc2c1,756.8,331.41800000000006,63.24,1,4,3,3,22
131,COc1ccc(S(=O)(=O)N2CCC(Cc3nncn3C)CC2)cc1,657.3,350.4440000000001,77.32000000000002,0,6,5,2,24
132,CC(C)n1cnc(S(=O)(=O)N2CCC[C@@H](C(O)=Nc3ccc(F)c(Cl)c3)C2)c1,848.0,428.91700000000003,87.79,1,5,5,2,28
133,Cc1oc(-c2cccc(Cl)c2)nc1Cn1nnc(-c2nc(-c3cccc(F)c3)no2)c1C,1359.9,450.86100000000016,95.66,0,8,5,5,32
134,COC(=O)C1=CN(c2cc(OC)cc(OC)c2)c2cc(F)ccc2S1(=O)=O,904.0,393.39200000000005,82.13999999999999,0,7,4,2,27
135,CC(C)N=C(O)CN1C(=O)COc2ccc(C(=O)N3CCCCCC3)cc21,680.0,373.45300000000026,82.44000000000001,1,4,4,1,27
136,CCc1nnc(-c2ccc(=O)n(CC(O)=NCc3ccc(F)c(Cl)c3)c2)o1,713.3,390.802,93.51,1,6,6,3,27
137,CCCN1CCN(C(=O)C2=Cc3cc(-c4ccccc4)ccc3OC2)CC1,713.9,362.4730000000002,32.78,0,3,4,2,27
138,OC(=NCCc1ccccc1)Nc1ccc(-c2nc(-c3ccccc3)co2)cc1,1083.1,383.4510000000001,70.65,2,3,6,4,29
139,CCOc1ccc(-c2noc(Cc3nnc(-c4cccc(Cl)c4)o3)n2)cc1,1135.2,382.8070000000001,87.07000000000001,0,7,6,4,27
140,CCOc1ccccc1C(=O)N1CCCC[C@@H]1c1nncn1CC1CC1,745.6,354.45400000000006,60.25,0,5,6,2,26
141,COc1cc(NS(=O)(=O)c2ccc3c(c2)-c2oncc2CO3)cc(OC)c1OC,805.0,418.42700000000025,109.12,1,8,6,3,29
142,CCOc1ccccc1CN=C(O)CCc1nnc2c3cc(-c4ccc(OC)cc4)nn3ccn12,797.4,470.53300000000013,98.53999999999999,1,8,9,5,35
143,O=C(CCn1c(N2CCCCC2)nc2ccccc2c1=O)N1CCN(c2ccccn2)CC1,630.0,446.5550000000003,74.57000000000001,0,7,5,3,33
144,CCOc1ccc(CN=C(O)c2cnc(OC)nc2)cc1,732.2,287.319,76.83,1,5,6,2,21
145,CCc1ccc(S(=O)(=O)N2CCC(N3CCN(Cc4ccccc4)C(=O)C3=O)CC2)cc1,859.2,455.5800000000002,78.0,0,4,6,2,32
146,COc1cc(OC)c(N=C(O)N2CC[C@@]3(C2)c2[nH]cnc2CCN3C)cc1Cl,568.6,405.8860000000002,86.21,2,5,3,2,28
147,CC(C)C[C@H](N=C(O)Cn1cnc2ccccc2c1=O)C(=O)O,649.1,317.3450000000001,104.78000000000002,2,5,6,2,23
148,OC(=NC[C@](O)(c1ccccc1)C(F)(F)F)c1cnccn1,709.6,311.263,78.60000000000001,2,4,4,2,22
149,Cc1cc(=O)n(CC(O)=Nc2cc(F)ccc2F)c(N2CCOCC2)n1,698.2,364.3520000000002,79.95,1,6,4,2,26
150,C[C@H]1CC[C@]2(CC1)N=C(O)N(CC(O)=Nc1ccc3c(c1)OCO3)C2=O,708.5,359.3820000000002,103.95000000000002,2,5,3,1,26
151,CCOC(=O)c1c[nH]c2c(C)cc(C)cc2c1=NCCCN(C)C,565.1,329.44400000000013,57.690000000000005,1,4,6,2,24
152,O=C(O)c1cccc(Nc2c(-c3ccc([N+](=O)[O-])cc3)nc3cnccn23)c1,716.7,375.34400000000005,122.66,2,7,5,4,28
153,CCCN1C(=O)CCc2cc(NS(=O)(=O)c3ccccc3C(F)(F)F)ccc21,860.3,412.43300000000005,66.48,1,3,5,2,28
154,Cc1ccc(-c2cc3n(n2)CCCN(C(=O)c2cc(CN4CCOCC4)on2)C3)o1,617.1,411.4620000000003,89.77000000000001,0,8,4,3,30
155,O=c1ccc(-n2cccn2)nn1CCN=C(O)c1cc2ccccc2o1,668.9,349.3500000000001,98.44,1,7,5,4,26
156,CCN(CC)c1nc(-c2cccc(C)c2)nnc1C,718.8,256.353,41.910000000000004,0,4,4,2,19
157,Fc1ccc(-c2ccc(CNCc3ccccn3)o2)cc1,654.6,282.31800000000004,38.06,1,3,5,3,21
158,O=C(Nc1ccc(N2CCOCC2)cc1)[C@@H]1CCCN(c2ncc(-c3ccccc3)cn2)C1,924.7,443.55100000000016,70.59,1,6,5,3,33
159,Cc1ccc(N=C(O)c2[nH]c3cc(C)sc3c2CN2CCOCC2)c(Cl)c1,731.2,403.9350000000003,60.85000000000001,2,4,4,3,27
160,Cc1ccc(N=C(O)c2sc(-c3cn(C)c4ncccc34)nc2C)cc1F,1003.0,380.4480000000001,63.300000000000004,1,5,3,4,27
161,CCN1C(=O)c2cccc3c(NC(=O)c4ccc(C(=O)OC)cc4)ccc1c23,637.9,374.3960000000001,75.71000000000001,1,4,4,3,28
162,C[C@@]1(C(O)=NCc2ccccc2)Oc2cccnc2N=C1O,637.6,297.314,87.30000000000001,2,4,3,2,22
163,CC(O)=Nc1ccc(-c2noc(C3CCN(C(=O)CCc4c[nH]c5ccccc45)CC3)n2)cc1,785.9,457.5340000000002,107.61,2,5,6,4,34
164,Cc1ccc(-c2noc(-c3sccc3N=C(O)C3(c4ccccc4)CC3)n2)cc1,828.5,401.4910000000002,71.51,1,5,5,4,29
165,Cc1ccc(C)c2c1NC(=O)C2=NNc1ccccc1[N+](=O)[O-],1149.0,310.3130000000001,96.63,2,5,3,2,23
166,Cn1cc(-c2nc(C(O)=Nc3cccc(F)c3)cs2)c2cccnc21,1021.2,352.39400000000006,63.3,1,5,3,4,25
167,CCN1C(=O)c2cccnc2Sc2cc(C(O)=NCc3cccc(F)c3)ccc21,810.3,407.4700000000001,65.79,1,4,4,3,29
168,Cn1nc(-c2ccccc2)cc1N,598.9,173.21899999999997,43.84,1,3,1,2,13
169,Cc1cc(=O)n(CC(=O)Nc2ccc(N(C)C)cc2)c(-c2ccccc2)n1,639.1,362.4330000000001,67.23,1,5,5,3,27
170,CCOc1ccc(N2C(=O)CC(c3ccc(OC)c(OC)c3)CC2=O)cc1,840.7,369.41700000000014,65.07,0,5,6,2,27
171,Cn1c(N2CCC[C@@H](C(O)=Nc3nccs3)C2)cc(=O)n(C)c1=O,634.1,349.4160000000001,92.72,1,8,3,2,24
172,COCCC(O)=Nc1cnn(-c2ncc(N3CCCCC3)cn2)c1,666.7,330.3920000000001,88.66,1,7,6,2,24
173,O=c1c2sc(N3CCC[C@H](C(O)=NC4CC4)C3)nc2ncn1CC(O)=Nc1ccccc1F,668.4,470.53000000000014,116.20000000000002,2,8,6,3,33
174,O=C1NCCCn2cc(S(=O)(=O)Nc3ccc(F)cc3Cl)cc21,649.6,357.79400000000004,80.2,2,4,3,2,23
175,COc1cccc(N=C(O)N2CCc3nc[nH]c3C2)c1,554.0,272.30800000000005,73.74000000000001,2,3,2,2,20
176,CCOC(=O)C1CCN(c2cc3c(cc2NC(O)=NC(C)C)n(C)c(=O)n3C)CC1,713.2,417.5100000000002,101.09,2,7,5,2,30
177,O=C(NC1CCCCC1)c1ccc(CN2CCN(Cc3ccccc3)C(=O)C2=O)cc1,786.7,419.5250000000002,69.72,1,3,6,2,31
178,OCCNCCNCc1ccc(-c2ccccc2F)o1,563.3,278.32700000000006,57.43,3,4,8,2,20
179,O=C([C@@H]1CCCO1)N1CCN(c2nc(CN3CCCCC3)cs2)CC1,579.3,364.5150000000002,48.910000000000004,0,6,4,1,25
